,Comment ID,Comment,Likes,Replies
169,UgxjsCrSx8cXjU_aRRF4AaABAg,"<a href=""https://www.youtube.com/watch?v=DTuS6Bki9kI&amp;t=7m51s"">7:51</a> i am still cying man my man&#39;s team laughing on the cape me laughing the man trying to jump on the planter😂😂😂😂",0,0
170,Ugzq7ke5XtGI34eQghd4AaABAg,"Haha funny how sinatraa says shroud and hiko plays ranked like its a pro match, he doesn&#39;t know they&#39;re just laughing from their csgo memories lol they&#39;re not even being serious",4,0
171,Ugw9PeHfm271xe-w8Q14AaABAg,The audacity of being called a boomer at our age 😤,0,0
172,UgyrvbNOrFwG-LXqNpp4AaABAg,&quot;dudes have 40 years of experience &quot; lmfao,1,0
173,UgynsGUmu1U-ReYdJJd4AaABAg,Maybe if Sinatra took a rank march serious he could go pro again,2,0
174,UgxdeR8I_Y05j9f2Y6h4AaABAg,shroud&#39;s just too good for them,0,0
175,UgwmOQ7k0IiFE3v0Z-J4AaABAg,I love how being old was a negative thing at first and then when Sinatra gets shit on its an experience advantage. lol,0,0
176,UgwBLoojMDf9lxN-qR14AaABAg,these young kids dont understand that experience always wins,49,6
177,UgwS_y22DZD2cNKROzN4AaABAg,"<a href=""https://www.youtube.com/watch?v=DTuS6Bki9kI&amp;t=7m50s"">7:50</a> reminds me of shroud leading his Kar-98 shots in Pubg",0,0
178,Ugx0ftVZGKhyF_T0T094AaABAg,I love listening to sinatraa whine it&#39;s hilarious,6,0
179,UgzoNQdjWl32AXWoBwF4AaABAg,&quot;they have to take the fucking ranked game like it&#39;s fucking pro match&quot; they&#39;re playing reyna raze double duelist without smokes and he lost 13-1 still finding excuses this guy lmao,0,0
180,UgxWeI3cH4fX3bgWrdl4AaABAg,Lol Dashy really be playing the easiest agents in the game every match,0,0
181,UgzBJfl92pPu6Z3_wLJ4AaABAg,They were just mauling the opponent 🥶🥶,9,0
182,UgwL6QM_GxB-lZOFepp4AaABAg,"i feel raze man , i would be so happy for a month after that game",0,0
183,UgxfhaswFlwInLQaFDx4AaABAg,The difference between being pro and playing 8-10 hours @ day.,0,0
184,Ugzxe-IluX-wUg43XhJ4AaABAg,"<a href=""https://www.youtube.com/watch?v=DTuS6Bki9kI&amp;t=8m31s"">8:31</a> that movement brooo",6,0
185,UgzHPCGjt8TgMbsBURZ4AaABAg,&quot;They&#39;re taking ranked too seriously&quot;<br><br>meanwhile the team comp is terrible compared to theirs lmao,0,0
186,UgyFXhyZqYmE7n1GUwN4AaABAg,"The subs are perfect dude, LOVE THIS",0,0
187,UgxPI9JNOog0a2YG1AZ4AaABAg,Actually hilarious when someone says “taking ranked to seriously” what does that mean? You’re suppose to take ranked seriously. If you just wanna play the game without strategy go to norms,0,0
188,UgzoGZyd7F8LlxF_CMF4AaABAg,You imagine streaming and saying stuff like that but yet getting slapped all over while the stream watches 🤣🤣🤣 its time to retire boys. That&#39;s embarrassing 😳,0,0
189,Ugx9vDRZQ3mUIDfGC094AaABAg,Them two just having fun playing their game. while these two shit talking them the entiree time xD,4,0
190,UgzNm-6Nw2CV9cmBjrR4AaABAg,Kid got absolutely dunked on,11,0
191,UgxmDX0oJnxN9SaA-iB4AaABAg,Lmao dashy playing with the big bois that’s great to see,0,0
192,UgyweobOcchrCtyUsyd4AaABAg,Lmao dashy playing with the big bois that’s great to see,0,0
193,UgzfEdkG2ROloWegsPZ4AaABAg,"No lie I&#39;ve never heard of Sinatraa, and I dont think I ever will after this lmao.",5,0
194,UgycL0y9gXIHM0vRoiV4AaABAg,Change video title to: <i>Schooling kids in Valorant?!</i>,8,0
195,Ugznz4TaQe9VAESpjEB4AaABAg,Hiko and shroud may be dinosaurs but they&#39;re up me with,0,0
