Title,Channel Title,Channel ID,Publish time,Duration,Number of comments,Number of likes,Number of views,video_id,url
THE FUNNIEST RANKED MATCH IN VALORANT !!! W/ KYEDAE,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2020-12-02T20:33:37Z,8:57,628,43837,1378076,Mm-KiWE8GLo,https://www.youtube.com/watch?v=Mm-KiWE8GLo
Becoming the FIRST VALORANT NA (33 KILLS),TenZ,UCckPYr9b_iVucz8ID1Q67sw,2020-05-07T14:37:38Z,48:10,962,24389,1086203,b5gvXtDzxOc,https://www.youtube.com/watch?v=b5gvXtDzxOc
SEN TenZ VS Stewie2K IN VALORANT !!!,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-08-25T00:49:16Z,9:42,314,12582,309857,U1JaMkCP0rY,https://www.youtube.com/watch?v=U1JaMkCP0rY
HOW MUCH MONEY HAVE I SPENT ON VALORANT ??? | SEN TenZ,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2021-07-27T23:18:48Z,11:5,852,36302,957544,6s9I7Jr0fZg,https://www.youtube.com/watch?v=6s9I7Jr0fZg
PLAYING WITH MY *NEW* TEAM IN RANKED !!! | SEN TenZ,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2021-03-14T21:22:05Z,10:23,845,28316,721762,y6nZd0b2sKM,https://www.youtube.com/watch?v=y6nZd0b2sKM
TenZ TRIES OUT *NEW* MOUSE GRIP IN RANKED !!!,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2021-03-16T21:24:25Z,9:14,726,22580,632550,OoWGTADWStU,https://www.youtube.com/watch?v=OoWGTADWStU
SEN TenZ SHOWS HOW TO OPTIMIZE PC FOR VALORANT !!!,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2021-08-14T00:27:30Z,9:50,847,52770,1286664,i-NucOextD4,https://www.youtube.com/watch?v=i-NucOextD4
THE SHERIFF IS THE NEW OPERATOR ??? | SEN TenZ,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2021-05-05T23:50:41Z,9:5,765,29469,830559,qdP0cqdiHzw,https://www.youtube.com/watch?v=qdP0cqdiHzw
IS ICEBOX MY NEW FAVOURITE MAP IN VALORANT ???,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2020-11-08T18:38:45Z,8:12,480,13603,351950,MZOz_SUT7k0,https://www.youtube.com/watch?v=MZOz_SUT7k0
Confusing Radiant Streamers with Movement on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2022-05-24T14:00:35Z,7:12,2925,119459,3425775,K60xur_5IIQ,https://www.youtube.com/watch?v=K60xur_5IIQ
This is what 5000 hours of Raze looks like on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2021-12-16T15:30:07Z,7:2,1803,108605,3151171,_ycFZvVLyJQ,https://www.youtube.com/watch?v=_ycFZvVLyJQ
The most aggressive player on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2021-05-17T17:00:10Z,8:3,1230,75333,2519436,QmjOdlyKTRU,https://www.youtube.com/watch?v=QmjOdlyKTRU
This is what a RADIANT Raze player looks like...,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2022-04-06T14:29:16Z,8:9,1164,54474,1439733,ORaNu0juKw4,https://www.youtube.com/watch?v=ORaNu0juKw4
The FASTEST Raze player on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2021-10-13T14:30:16Z,7:44,3233,151202,5140109,tEpGvHxhHDw,https://www.youtube.com/watch?v=tEpGvHxhHDw
The NEW FASTEST Valorant player...,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2022-03-07T15:43:08Z,8:8,1128,53100,1362257,CJFPeOEcbf0,https://www.youtube.com/watch?v=CJFPeOEcbf0
The FASTEST Raze player on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2021-10-13T14:30:16Z,7:44,3233,151202,5140109,tEpGvHxhHDw,https://www.youtube.com/watch?v=tEpGvHxhHDw
How I broke the MAX SPEED on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2021-07-14T16:00:23Z,8:9,1900,79734,2379206,myf1xP4jQ0I,https://www.youtube.com/watch?v=myf1xP4jQ0I
How I got Immortal with Aggressive RAZE plays on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2020-08-02T17:28:40Z,7:46,1689,52758,1668941,hJ3LtOkY_h4,https://www.youtube.com/watch?v=hJ3LtOkY_h4
"This is what 100,000 Kills on Raze looks like...",Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2022-01-30T15:30:04Z,7:15,1285,67960,1823876,b6Z-We5LBpc,https://www.youtube.com/watch?v=b6Z-We5LBpc
"This is what 100,000 Kills on Raze looks like...",Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2022-01-30T15:30:04Z,7:15,1285,67960,1823876,b6Z-We5LBpc,https://www.youtube.com/watch?v=b6Z-We5LBpc
The ONLY way to play RAZE on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2021-03-29T17:00:12Z,8:4,840,54855,1806484,pi8jfJ2NnO4,https://www.youtube.com/watch?v=pi8jfJ2NnO4
How the Top 0.1% of players make aggressive plays on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2021-05-26T17:04:04Z,8:7,686,35050,1013870,xceMgg9YwNY,https://www.youtube.com/watch?v=xceMgg9YwNY
"Aggressive RAZE plays in a $100,000 Tournament on Valorant",Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2020-11-14T18:00:09Z,11:11,1693,73598,1815667,xG0IEDmRwPY,https://www.youtube.com/watch?v=xG0IEDmRwPY
What a Radiant RAZE player looks like on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2020-11-05T18:00:06Z,6:45,1648,46836,1032431,QAXycxY8e5Y,https://www.youtube.com/watch?v=QAXycxY8e5Y
How to carry Top 500 Radiant players with RAZE on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2021-02-26T17:59:22Z,8:29,1034,52093,1660877,ynBRVjEem9w,https://www.youtube.com/watch?v=ynBRVjEem9w
Killing Twitch Streamers with Aggressive RAZE plays on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2020-12-30T18:00:13Z,8:4,1539,64975,1621608,q1GOSasgT68,https://www.youtube.com/watch?v=q1GOSasgT68
How to play RAZE like a Radiant player on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2021-03-15T18:00:16Z,8:1,958,52509,1484440,_QNfxIP-usU,https://www.youtube.com/watch?v=_QNfxIP-usU
Aggressive RAZE plays with the Operator on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2020-08-17T17:30:45Z,8:14,2377,61026,2324856,hCAlzRhoKY4,https://www.youtube.com/watch?v=hCAlzRhoKY4
INSANE RAZE Movement on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2020-07-12T12:30:00Z,4:9,1793,41679,1435506,12EGI8et6no,https://www.youtube.com/watch?v=12EGI8et6no
How I make Radiant RAZE plays look EASY on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2021-02-07T18:02:12Z,7:47,1553,63383,2201686,I54hFWXHPX4,https://www.youtube.com/watch?v=I54hFWXHPX4
How I got Immortal with Aggressive RAZE plays on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2020-08-02T17:28:40Z,7:46,1689,52758,1668941,hJ3LtOkY_h4,https://www.youtube.com/watch?v=hJ3LtOkY_h4
Valorant but I'm already in your spawn,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2021-08-10T16:13:32Z,7:12,2904,154319,4276302,YzA4Y1BBVTQ,https://www.youtube.com/watch?v=YzA4Y1BBVTQ
BEST Aggressive RAZE plays on Valorant,Flights,UCIfAlCwj-ZPZq5fqjpYDX3w,2020-07-05T16:07:39Z,5:10,2507,64832,2956530,GnDivux5MfM,https://www.youtube.com/watch?v=GnDivux5MfM
